"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1070","新北市立圖書館三重分館","50","19","三重區","20171124175925","25.066099","121.495529","自強路一段162號至自強路一段二弄4號(對面停車場)","Sanchong Dist.","New Taipei City Library Sanchong Branch","No.162, Sec. 1, Ziqiang Rd. to No.4, Aly. 2, Sec. 1, Ziqiang Rd. (opposite)","31","1"
"1071","三張公園","40","11","三重區","20171124175940","25.070507","121.490935","大智街127號至大智路137號(對面三張公園)","Sanchong Dist.","Sanzhang Park","No.127, Dazhi St. to No.137, Dazhi St. (opposite)","29","1"
"1072","捷運丹鳳站(1號出口)","46","9","新莊區","20171124175924","25.029032","121.422799","中正路/民安路","Xinzhuang Dist.","MRT Danfeng Sta. (Exit 1)","Zhongzheng Rd./Min’an Rd","31","1"
"1073","永福橋","50","24","永和區","20171124175940","25.010032","121.524184","豫溪街217巷27號對面人行道","Yonghe Dist.","Yongfu Bridge","No.27, Ln. 217, Yuxi St. (opposite)","24","1"
"1074","中港國小","50","29","新莊區","20171124175939","25.045947","121.447746","中和街62號對面","Xinzhuang Dist.","Zhonggang Elementary School","No.62, Zhonghe St. (opposite)","21","1"
"1075","六合公園","40","13","三重區","20171124175915","25.069499","121.487588","自強路二段74巷27號對面","Sanchong Dist.","Liuhe Park","No.27, Ln. 74, Sec. 2, Ziqiang Rd. (opposite)","26","1"
"1076","正義公園","52","28","三重區","20171124175917","25.068551","121.497818","文化北路101號至119號對面","Sanchong Dist.","Zhengyi Park","No.101 to No. 119, Wenhua N. Rd. (opposite)","24","1"
"1077","捷運徐匯中學站(1號出口)","56","34","蘆洲區","20171124175927","25.080468","121.479852","中山一路3號(捷運徐匯中學站1號出口旁)","Luzhou Dist.","MRT St.Ignatius High School Sta. (Exit 1)","No.3, Zhongshan 1st Rd.","22","1"
"1078","黃城公園","38","14","新莊區","20171124175936","25.052382","121.448239","中信街74號旁","Xinzhuang Dist.","Huangcheng Park","No.74, Zhongxin St.","24","1"
"1079","捷運菜寮站(3號出口)","30","3","三重區","20171124175938","25.060471","121.492198","重新路三段67號旁","Sanchong Dist.","MRT Cailiao Sta. (Exit 3)","No.67, Sec. 3, Chongxin Rd.","27","1"
"1080","捷運三和國中站(1號出口)","48","17","三重區","20171124175936","25.075881","121.487795","三和路四段95號至97號對面(捷運三和國中站1號出口)","Sanchong Dist.","MRT Sanhe Junior High School Sta.","No.95 to N0. 97, Sec. 4, Sanhe Rd. (opposite)","31","1"
"1081","中和國民運動中心","50","31","中和區","20171124175936","24.993477","121.487692","和城路一段/中正二橋","Zhonghe Dist.","Zhonghe Civil Sports Center","Sec. 1, Hecheng Rd./  Zhongzheng Second Bridge","19","1"
"1082","四維公園","40","6","新莊區","20171124175936","25.021308","121.422185","四維路181號對面(四維活動中心出口前)","Xinzhuang Dist.","Siwei Park","No.181, Siwei Rd. (opposite)","34","1"
"1083","蘆洲國民運動中心","42","9","蘆洲區","20171124175936","25.091945","121.461613","長興路237巷/長興路","Luzhou Dist.","Luzhou Civil Sports Center","Ln. 237, Changxing Rd./Changxing Rd.","32","1"
