"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1172","樹林火車站(後站)","52","4","樹林區","20171124175916","24.992553","121.424652","後站街6巷11號對面","Shulin Dist.","Shulin Railway Rear Station","No.11, Ln. 6, Houzhan St. (opposite)","47","1"
"1173","文林國小","32","9","樹林區","20171124175925","24.997856","121.426360","千歲街59號","Shulin Dist.","Wenlin Elementary School","No.59, Qiansui St.","23","1"
"1174","土城綜合體育場","44","8","土城區","20171124175921","24.983671","121.454211","裕民路195巷旁","Tucheng Dist.","Tucheng Sports Field","Ln. 195, Yumin Rd.","35","1"
"1175","板橋福德公園","32","15","板橋區","20171124175929","25.011498","121.467415","新站路1號對面","Banqiao Dist.","Banqiao Fude Park","No.1, Xinzhan Rd. (opposite)","17","1"
"1176","光華公園","32","21","樹林區","20171124175924","25.005412","121.413157","保安街2段259號對面","Shulin Dist.","Guanghua Park","No.259, Sec. 2, Bao’an St. (opposite)","10","1"
"1177","樹林大安活動中心","36","7","樹林區","20171124175917","24.986391","121.414770","備前街/復興路372巷口","Shulin Dist.","Shulin Da'an Activity Center","Beiqian St./Ln. 372, Fuxing Rd.","29","1"
"1178","三民中山一路口","36","17","蘆洲區","20171124175915","25.082229","121.476004","三民路8號前","Luzhou Dist.","Sanmin & Zhongshan 1st Rd. Intersection","No.8, Sanmin Rd.","19","1"
"1179","義學國小","34","1","泰山區","20171124175943","25.051762","121.431669","民生路33號對面人行道","Taishan Dist.","Yixue Elementary School","No.33, Minsheng Rd. (opposite)","33","1"
"1180","自然公園","34","6","三重區","20171124175940","25.089840","121.487987","如意街/集賢路口","Sanchong Dist.","Natural Park","Ruyi St./Jixian Rd.","28","1"
"1181","板林溪北路口","46","30","板橋區","20171124175918","24.990555","121.426350","板林路/溪北路","Banqiao Dist.","Banlin & Xibei Intersection","Banlin Rd./Xibei Rd.","15","1"
"1182","新北市藝文中心","40","27","板橋區","20171124175936","25.026542","121.472279","莊敬路/文化路2段182巷","Banqiao Dist.","New Taipei City Art Center","Zhuangjing Rd./Ln. 182, Sec. 2, Wenhua Rd.","12","1"
"1183","大安中央路口","32","0","土城區","20171124175924","24.965619","121.432610","大安路/中央路三段","Tucheng Dist.","Da'an & Zhongyang Intersection","Da’an Rd./Sec. 3, Zhongyang Rd.","32","1"
"1184","中和地政事務所","28","17","中和區","20171124175926","24.990393","121.502397","復興路280號","Zhonghe Dist.","Zhonghe Land Office","No.280, Fuxing Rd.","11","1"
"1185","華夏科技大學","42","6","中和區","20171124175928","24.980672","121.507652","工專路111號","Zhonghe Dist.","Hwa Hsia University of Technology","No.111, Gongzhuan Rd.","36","1"
"1186","同興公園","34","2","泰山區","20171124175946","25.055188","121.432128","仁義路15號對面","Taishan Dist.","Tongxing Park","No.15, Renyi Rd. (opposite)","32","1"
"1187","新五泰國民運動中心","30","1","泰山區","20171124175930","25.055865","121.434262","全興路214號對面","Taishan Dist.","Xinwutai  Civil Sports Center","No.214, Quanxing Rd. (opposite)","29","1"
"1188","溪洲公園停車場","34","8","板橋區","20171124175930","24.986723","121.426820","溪崑二街145號","Banqiao Dist.","Xizhou Park","No.145, Xikun 2nd St.","26","1"
"1189","崑崙公園","38","15","板橋區","20171124175929","24.993406","121.429636","大觀路三段212巷70號對面","Banqiao Dist.","Kunlun Park","No.70, Aly. 212, Sec. 3, Daguan Rd. (opposite)","22","1"
"1190","捷運海山站(3號出口)","40","28","土城區","20171124175941","24.986923","121.449335","海山路46號對面機車格位","Tucheng Dist.","MRT Haishan Sta.(Exit 3)","No.46, Haishan Rd. (opposite)","12","1"
"1191","興化公園","38","1","新莊區","20171124175924","25.065234","121.461115","五工二路/五工三路50巷","Xinzhuang Dist.","Xinhua Park","Wugong 2nd Rd./Ln. 50, Wugong 3rd Rd.","37","1"
"1192","潤泰社區","36","10","板橋區","20171124175916","25.017953","121.479375","三民路二段35巷口","Banqiao Dist.","Runtai Community","Ln. 35, Sec. 2, Sanmin Rd.","25","1"
"1193","西盛館","30","7","新莊區","20171124175924","25.011905","121.432713","新樹路499號前人行道(西盛館)","Xinzhuang Dist.","Xi Sheng Guan","No.499, Xinshu Rd.","23","1"
"1194","秀朗成功路口","40","22","中和區","20171124175941","24.995821","121.526550","秀朗路三段 / 成功路二段","Zhonghe Dist.","Xiulang & Chenggong Intersection","Sec. 3, Xiulang Rd./Sec. 2, Chenggong Rd.","18","1"
"1195","板橋國中","54","22","板橋區","20171124175926","25.024903","121.454310","中正路441號前人行道","Banqiao Dist.","Banqiao Junior High School","No.441, Zhongzheng Rd.","31","1"
"1196","永豐公園活動中心","32","16","板橋區","20171124175924","25.021127","121.476853","永豐街221號","Banqiao Dist.","Yongfeng  Park Activity Center","No.221, Yongfeng St.","13","1"
"1197","義仁市民活動中心","36","4","泰山區","20171124175955","25.050479","121.427667","明志路二段177號","Taishan Dist.","Yiren civil activity center","No.177, Sec. 2, Mingzhi Rd.","31","1"
"1198","鶯歌國中","34","5","鶯歌區","20171124175927","24.951734","121.342963","建國路420號對面人行道","Yingge Dist.","Yingge Junior High School","No.420, Jianguo Rd.(opposite)","29","1"
"1199","捷運迴龍站(3號出口)","60","29","新莊區","20171124175918","25.022760","121.413053","中正路/中正路746巷","Xinzhuang Dist.","MRT Huilong Sta.(Exit 3)","Zhongzheng Rd./Ln. 746, Zhongzheng Rd.","31","1"
"1200","捷運先嗇宮站(2號出口)","50","21","三重區","20171124175936","25.046068","121.470987","重新路五段515號","Sanchong Dist.","MRT Xianse Temple Sta.(Exit.2)","No.515, Sec. 5, Chongxin Rd.","29","1"
"1201","鶯歌火車站(仁愛路)","58","45","鶯歌區","20171124175936","24.955591","121.354376","仁愛路55號對側人行道","Yingge Dist.","Yingge Railway Station(Ren’ai  Rd.)","No.55, Ren’ai Rd., Yingge Dist.(opposite)","11","1"
"1202","建國育英路口","50","0","鶯歌區","20170925085632","24.952761","121.347193","鶯歌區建國路/育英街口機車停車場內","Yingge Dist.","Chienkuo & Yuying Intersection","Jianguo Rd./Yuying St.","0","0"
"1203","鶯歌陶瓷老街","44","11","鶯歌區","20171124175918","24.952226","121.351035","鶯歌區尖山埔路/國慶街(停車場內)","Yingge Dist.","Yingge ceramics old street","Jianshanpu Rd./Guoqing St.","32","1"
"1204","立泰里(中環路二段)","40","9","新莊區","20171124175927","25.045676","121.442133","新莊區中環路二段423號(對面橋下)","Xinzhuang Dist.","Litai Village(Zhonghuan Rd. Sec. 2)","No.423, Sec. 2, Zhonghuan Rd.(opposite)","31","1"
"1205","竹圍公園","28","13","淡水區","20171124175936","25.138234","121.463395","淡水區民生路108號旁公園通道(竹圍公園)","Tamsui Dist.","Chuwei Park","No.108, Minsheng Rd.","15","1"
"1206","新北市立鶯歌陶瓷博物館","40","27","鶯歌區","20171124175936","24.949549","121.352832","鶯歌區文化路407號","Yingge Dist.","New Taipei City Yingge Ceramics  Museum","No.407, Wenhua Rd.","13","1"
"1207","浮洲合宜住宅(樂群路)","46","20","板橋區","20171124175939","24.996327","121.445450","板橋區合宜路/樂群路口","Banqiao Dist.","Fuzhou Apartment(Lequn Rd.)","Heyi Rd./Lequn Rd.","26","1"
"1208","尖山公園","44","7","鶯歌區","20171124175919","24.948220","121.345767","鶯歌區尖山路161號對面","Yingge Dist.","Jianshan Park","No.161, Jianshan Rd.(opposite)","37","1"
"1209","崇德橋東活動中心","26","13","汐止區","20171124175831","25.070512","121.667002","茄苳路84號(崇德橋東里民活動中心前)","Xizhi Dist.","Chungde-Ciaodong Activity Center","No.84, Jiadong Rd.","13","1"
"1210","樹林區衛生所","38","14","樹林區","20171124175927","24.983768","121.415032","新北市樹林區中山路二段80-1號對面機車停車格","Shulin Dist.","Shulin District Public Health Center","No.80-1, Sec. 2, Zhongshan Rd.(opposite)","23","1"
"1211","溪墘公園","36","11","蘆洲區","20171124175921","25.079969","121.476205","信義路73巷2號對面公園人行道","Luzhou Dist.","Si Cian Park","No.2, Ln. 73, Xinyi Rd.(oppsite)","25","1"
"1212","育德國小","34","14","樹林區","20171124175843","24.970656","121.392602","育德街13號對面人行道","Shulin Dist.","Yude Elementary School","No.13, Yude St.(oppsite)","20","1"
"1213","彭福國小","40","2","樹林區","20171124175934","24.980335","121.423104","國凱街130號對面","Shulin Dist.","Pengfu Elementary School","No.130, Guokai St.(oppsite)","37","1"
"1214","民享藝文特區","36","24","中和區","20171124175927","25.003435","121.475345","民治街120號對面人行道","Zhonghe Dist.","Minxiang Art Zone","No.120, Minzhi St.(oppsite)","10","1"
"1215","億光電子(樹林高中)","40","4","樹林區","20171124175918","24.983567","121.423601","中華路 / 樹中二街口(學校側門對面人行道)","Shulin Dist.","Everlight Electronics Co.,Ltd (Shulin Senior High School)","Zhonghua Rd./Shuzhong 2nd St.(oppsite)","33","1"
"1216","捷運永寧站(2號出口)","44","19","土城區","20171124175924","24.965783","121.436227","承天路11號對面","Tucheng Dist.","MRT Yungning Sta.(EXIT 2)","No.11, Chengtian Rd.(oppsite)","25","1"
"1217","竿蓁市民活動中心","48","15","淡水區","20171124175925","25.165090","121.450831","中正東路一段3巷2號對面路側(亞太飯店旁)","Tamsui Dist.","Ganzhen Civil Activity Center","No.2, Ln. 3, Sec. 1, Zhongzheng E. Rd.(oppsite)","32","1"
"1218","長壽親子公園","38","36","樹林區","20171124175929","24.991853","121.421371","樹德街35號對面(公園內縮空間)","Shulin Dist.","Changshou Parent-child Park","No.35, Shude St.(oppsite)","2","1"
"1219","新市國小","36","15","淡水區","20171124175933","25.185313","121.444332","中山北路二段189巷2號對面人行道(新市國小)","Tamsui Dist.","Xinshi Elementary School","No.2, Ln. 189, Sec. 2, Zhongshan N. Rd.(oppsite)","20","1"
"1220","新北市立圖書館鶯歌分館","36","19","鶯歌區","20171124175929","24.957195","121.349704","中山路150號(圖書館內停車場)","Yingge Dist.","New Taipei City Library Yingge Branch","No.150, Zhongshan Rd.","17","1"
"1221","德音國小","36","8","五股區","20171124175918","25.071515","121.435670","明德路2號(德音國小成泰路路側人行道)","Wugu Dist.","De-Yin Elementary School","No.2, Mingde Rd.(oppsite)","28","1"
"1222","中山北新春街口","40","17","淡水區","20171124175944","25.180345","121.444742","中山北路一段/新春街(東南側)(公園籃球場前人行道)","Tamsui Dist.","Zhongshan North & Xinchun Intersection","Sec. 1, Zhongshan N. Rd./Xinchun St.","23","1"
"1223","正德國中","40","2","淡水區","20171124175936","25.178512","121.447874","北新路116號對面人行道(正德國中)","Tamsui Dist.","Zhengde Junior High School","No.116, Beixin Rd.(oppsite)","38","1"
"1224","金城立體停車場","42","11","土城區","20171124175925","24.984102","121.458595","金城路2段266號","Tucheng Dist.","Jincheng Parking Lot","No.266, Sec. 2, Jincheng Rd.","30","1"
"1225","先嗇宮","40","0","三重區","20171124175918","25.051190","121.476007","五谷王北街77號(後方停車場旁人行道)","Sanchong Dist.","Xianse Temple","No.77, Wuguwang N. St.","40","1"
"1226","板橋第一運動場","40","3","板橋區","20171124175926","25.009061","121.468352","板橋區海山路23號對面","Banqiao Dist.","Banqiao First Stadium","No.23, Haishan Rd.(oppsite)","37","1"
"1227","光興國小","36","22","三重區","20171124175940","25.060339","121.500103","光興街/文化南路口(西南側)(光興街路側)","Sanchong Dist.","Guangxing Elementary School","Guangxing St./Wenhua S. Rd.","13","1"
"1228","安和市民活動中心","38","2","新店區","20171124175918","24.975317","121.515687","安興路67號對面空地 (高架橋下)","Xindian Dist.","Anhe Activity Center","No.67, Anxing Rd.(oppsite)","36","1"
"1229","景安板南路口","30","8","中和區","20171124175931","24.992249","121.504443","景安路與板南路口(西南側三角公園)","Zhonghe Dist.","Jing’an / Bannan Intersection","Jing’an Rd./Bannan Rd.","22","1"
"1230","新月橋","50","21","新莊區","20171124175915","25.032300","121.450011","瓊林路1號旁(碧江公園旁)","Xinzhuang Dist.","Crescent Bridge","No.1, Qionglin Rd.","29","1"
"1231","修德國小","42","2","三重區","20171124175924","25.065295","121.490450","民生街74號對面人行道","Sanchong Dist.","Sioude Elementary School","No.74, Minsheng St.(oppsite)","39","1"
"1232","福祥里(中和溝)","38","28","中和區","20171124175918","25.005933","121.499565","福祥路90巷7弄1號對側空間","Zhonghe Dist.","Fuxiang Village (Zhonghe Ditch)","No.1, Aly. 7, Ln. 90, Fuxiang Rd.(oppsite)","10","1"
"1233","濱海義山路口","40","15","淡水區","20171124175920","25.189448","121.438708","濱海路一段125~219號前人行道","Tamsui Dist.","Binhai & Yishan Intersection","No.125 ~ No.219, Sec. 1, Binhai Rd.","25","1"
"1234","鴨母港抽水站","40","17","蘆洲區","20171124175925","25.082935","121.456728","永安南路二段334號(對面人行道)","Luzhou Dist.","Yamugang Pumping Station","No.334, Sec. 2, Yong’an S. Rd.","22","1"
"1235","捷運淡水站","106","36","淡水區","20171124175933","25.168826","121.444183","公明街73巷6號前(淡水老街廣場)","Tamsui Dist.","MRT Tamsui Station","No.6, Ln. 73, Gongming St.","68","1"
"1236","安成安德街口","36","8","新店區","20171124175924","24.961147","121.509988","安成街26號至36號對面","Xindian Dist.","Ancheng & Ande Intersection","No.26 ~ No.36, Ancheng St.(oppsite)","28","1"
"1237","淡水國民運動中心","46","17","淡水區","20171124175922","25.186496","121.443261","中山北路2段381巷2號","Tamsui Dist.","Tamsui Sports Center","No.2, Ln. 381, Sec. 2, Zhongshan N. Rd.","29","1"
"1238","捷運竹圍站","46","18","淡水區","20171124175936","25.137658","121.460112","民權路105號-115號前人行道","Tamsui Dist.","MRT Zhuwei Station","No.105 ~ No.115, Minquan Rd.","28","1"
"1239","龍門公園","38","9","三重區","20171124175932","25.074815","121.498484","公園街/仁福街 (龍門公園人行道上)","Sanchong Dist.","Longmen Park","Gongyuan St. / Renfu St.","29","1"
"1240","濱海中山北路口","34","0","淡水區","20171124175926","25.188887","121.443505","濱海中山北路口西南側人行道(家樂福廣場前人行道)","Tamsui Dist.","Binhai & Chungshan North Intersection","Binhai Rd. / Sec. 2, Zhongshan N. Rd.","34","1"
"1241","永安圖書館","36","22","蘆洲區","20171124175936","25.078599","121.462228","永安南路二段150號(對側人行道)","Luzhou Dist.","Yong-an Library","No.150, Sec. 2, Yong’an S. Rd.","14","1"
"1242","西盛廣場","34","6","新莊區","20171124175939","25.000894","121.431485","樹新路251號對面(西盛廣場人行道)","Xinzhuang Dist.","XiSheng Square","No.251, Shuxin Rd.(oppsite)","27","1"
"1243","三峽區公所(三峽老街)","42","6","三峽區","20171124175920","24.934187","121.369158","中山路17號(公所旁徒步區)","Sanxia Dist.","Sanxia District Office(Sanxia Old Street)","No.17, Zhongshan Rd.","36","1"
"1244","仁愛文化二路口","50","0","林口區","20171124175941","25.077118","121.374258","仁愛路二段559號前方人行道","Linkou Dist.","Ren-ai & Wenhua 2nd Rd. Intersection","No.559, Sec. 2, Ren’ai Rd.","48","1"
"1245","崑崙活力廣場","42","12","板橋區","20171124175916","24.993901","121.432880","大觀路三段133巷3號對面廣場","Banqiao Dist.","Kunlun Square","No.3, Ln. 133, Sec. 3, Daguan Rd.(oppsite)","29","1"
"1246","永盛公園","38","4","三重區","20171124175917","25.076133","121.484304","車路頭街139巷135號(對面人行道)","Sanchong Dist.","YongSheng Park","No.135, Ln. 139, Chelutou St.(oppsite)","34","1"
"1247","鷺江廣場","32","25","蘆洲區","20171124175917","25.085621","121.477694","信義路319巷22號(旁邊機車格前)","Luzhou Dist.","Lu Jiang square","No.22, Ln. 319, Xinyi Rd.(side)","7","1"
"1248","六張公園","36","14","三重區","20171124175941","25.069661","121.494048","安慶街149巷21號 (對面六張公園人行道)","Sanchong Dist.","Liuzhang Park","No.21, Ln. 149, Anqing St.(oppsite)","22","1"
"1249","中山佳林路口","36","17","林口區","20171124175938","25.079592","121.385587","中山路250-1號前方機車停車格","Linkou Dist.","Chungshan & Chalin Intersection","No.250-1, Zhongshan Rd.","18","1"
"1250","國立臺北大學(三峽校區)","58","12","三峽區","20171124175934","24.945553","121.373260","學勤路大學路口(面校門右側人行道)","Sanxia Dist.","National Taipei University(Sanxia Campus)","Xueqin Rd. / Daxue Rd. intersection","46","1"
"1251","林口區公所","34","22","林口區","20171124175927","25.076742","121.388181","仁愛路一段378號(林口區公所旁機車停車格)","Linkou Dist.","Linkou District Office","No.378, Sec. 1, Ren’ai Rd.","12","1"
"1252","新麗園社區","42","2","林口區","20171124175942","25.070428","121.376882","麗園一街/麗園一街11巷(對面人行道)","Linkou Dist.","Xinliyuan Community","Liyuan 1st St. / Ln. 11, Liyuan 1st St. intersection","40","1"
"1253","中正富國路口","42","19","新莊區","20171124175919","25.025940","121.417694","中正路879之16號門口(中國信託前的公車站旁)","Xinzhuang Dist.","Zhongzheng & Fuguo Intersection","No.879-16, Zhongzheng Rd.","23","1"
"1254","大同國小","36","2","樹林區","20171124175931","24.981146","121.416844","東榮街91巷(市場旁人行道)","Shulin Dist.","Datong Elementary School","Ln. 91, Dongrong St.(Side)","33","1"
"1255","新北市立圖書館五股成功分館","42","7","五股區","20171124175941","25.094784","121.446741","西雲路165號圖書館旁空地","Wugu Dist.","New Taipei City Library Wugu-Chenggong Branch","No.165, Xiyun Rd.","35","1"
"1256","民德立體停車場","32","8","中和區","20171124175925","24.999098","121.468345","中和區民德路188 號(立體停車場前方人行空間)","Zhonghe Dist.","Minde Parking Lot","No.188, Minde Rd.","23","1"
"1257","麗林公有市場","34","26","林口區","20171124175936","25.069123","121.367761","公園路59號(頂好超市側門)","Linkou Dist.","LiLin Market","No.59, Gongyuan Rd.","8","1"
"1258","南樹林火車站","34","14","樹林區","20171124175941","24.980236","121.408605","中山路二段東興路口(火車站右側人行道)","Shulin Dist.","Shulin South Station","Sec. 2, Zhongshan Rd. / Dongxing St. intersection","18","1"
"1259","新北市立鶯歌高級工商職業學校","40","6","鶯歌區","20171124175933","24.939095","121.334639","中正三路235~237號(對面人行道)","Yingge Dist.","New Taipei Municipal Yinggle Vocational High School","No.235-237, Zhongzheng 3rd Rd.(oppsite)","34","1"
"1260","行政院新莊聯合辦公大樓","44","19","新莊區","20171124175936","25.055969","121.444423","中平路/榮華路2段","Xinzhuang Dist.","Xinzhuang Joint Office Tower, Executive Yuan","Zhongping Rd./ Sec. 2, Ronghua Rd. intersection","25","1"
"1261","柑園五里聯合活動中心","40","13","樹林區","20171124175917","24.950576","121.386183","佳園路三段128號(活動中心左側人行道)","Shulin Dist.","5 Villages in Ganyuan Joint Activity Center","No.128, Sec. 3, Jiayuan Rd.","27","1"
"1262","中和自強公園","38","23","中和區","20171124175943","24.999132","121.472513","莒光路181號對側公園人行道旁","Zhonghe Dist.","Zhonghe Ziqiang Park","No.181, Juguang Rd.(oppsite)","14","1"
"1263","富貴森林公園","36","23","林口區","20171124175919","25.083156","121.378464","中山路/富貴路口(富貴路人行道上)","Linkou Dist.","Fugui Park","Zhongshan Rd. / Fugui Rd. intersection","13","1"
"1264","林口自強公園","36","2","林口區","20171124175915","25.078126","121.397208","自強三街3號旁人行道","Linkou Dist.","Linkou Ziqiang Park","No.3, Ziqiang 3rd St.","34","1"
"1265","永昌里兒一公園","36","26","鶯歌區","20171124175924","24.956661","121.339645","鶯桃路182巷96弄36-38號對側","Yingge Dist.","Yongchang Village Children Park (No.1)","No.36-38, Aly. 96, Ln. 182, Yingtao Rd.(oppsite)","10","1"
"1266","捷運林口站(1號出口)","60","22","林口區","20171124175942","25.065970","121.361962","文化三路/八德路口 (1號出口旁)","Linkou Dist.","MRT Linkou Sta. (Exit 1)","Sec. 2, Wenhua 3rd Rd. / Bade Rd. intersection","37","1"
"1267","南興公園","34","11","汐止區","20171124175933","25.059779","121.652549","南興路62號旁(南興公園內)","Xizhi Dist.","Nanxing Park","No.62, Nanxing Rd.","23","1"
"1268","立言公園","34","21","林口區","20171124175936","25.073427","121.362340","忠孝一路/民族路61巷交叉口","Linkou Dist.","Liyan Park","Zhongxiao 1st Rd. / Ln. 61, Minzu Rd. intersection","13","1"
"1269","溪北公園","36","9","板橋區","20171124175940","24.990060","121.432281","篤行路二段131巷35號(對面人行道)","Banqiao Dist.","Xibei Park","No.35, Ln. 131, Sec. 2, Duxing Rd.","27","1"
"1270","頂新祖田市民活動中心","34","17","土城區","20171124175920","24.952762","121.411701","中央路四段285號","Tucheng Dist.","Dingxin-Zutian Civic Activity Center","No.285, Sec. 4, Zhongyang Rd.","17","1"
"1271","貴和市民活動中心","34","8","泰山區","20171124175932","25.034961","121.421928","明志路三段353號旁公園","Taishan Dist.","Guihe Civil Activity Center","No.353, Sec. 3, Mingzhi Rd.","24","1"
"1272","頂埔國小","34","20","土城區","20171124175941","24.956343","121.414421","中央路四段205號(頂埔國小校門口)","Tucheng Dist.","Dingpu Elementary School","No.205, Sec. 4, Zhongyang Rd.","14","1"
"1273","三峽區礁溪行政中心","34","0","三峽區","20171027090101","24.928231","121.376064","光明路96-100號(對面機車格)","Sanxia Dist.","Chiaohsi Office of Sanxia District","No.96-100, Guangming Rd.(oppsite)","34","1"
"1274","林口國小","36","16","林口區","20171124175940","25.080533","121.389307","林口路77號對面林口國小旁人行道","Linkou Dist.","Linkou Elementary School","No.77, Linkou Rd.(oppsite)","20","1"
"1275","南勢市民活動中心","34","24","林口區","20171124175939","25.074035","121.358924","南勢二街154號旁","Linkou Dist.","Nanshih Civil Activity Center","No.154, Nanshi 2nd St.(Side)","10","1"
"1276","青山廣場","36","20","土城區","20171124175930","24.977837","121.459751","明德路一段240巷1號(雜貨店前人行道)","Tucheng Dist.","Qingshan Square","No.1, Ln. 240, Sec. 1, Mingde Rd.","16","1"
"1277","林口社區運動公園","36","14","林口區","20171124175936","25.074150","121.377001","文化一路一段/仁愛路二段口(林口社區運動公園文化一路側人行道)","Linkou Dist.","Linkou Community Sports Park","Sec. 1, Wenhua 1st Rd./Sec. 2, Ren’ai Rd.(intersection)","22","1"
"1278","捷運新莊站 ( 2號出口 )","40","32","新莊區","20171124175920","25.036075","121.452792","新莊路214巷(捷運新莊站2號出口旁邊)","Xinzhuang Dist.","MRT Xinzhuang Sta. (Exit 2)","Ln. 214, Xinzhuang Rd.","8","1"
"1279","俊英俊保路口","30","16","樹林區","20171124175929","25.009150","121.425183","俊英街俊保路口(西北側人行道)","Shulin Dist.","Junying & Junbao Intersection","Junying St./Junbao Rd.(intersecion)","14","1"
"1280","洲子洋公園","38","8","五股區","20171124175937","25.094701","121.448105","成泰路三段公園路口東側洲子洋公園路側原機車停車格","Wugu Dist.","Zhouziyang Park","Sec. 3, Chengtai Rd./Gongyuan Rd.(intersecion)","28","1"
"1281","學成大義路口","46","19","樹林區","20171124175936","24.945099","121.378671","學成路大義路口(西北側人行道)","Shulin Dist.","Xuecheng & Dayi Intersection","Xuecheng Rd./Dayi Rd.(intersecion)","26","1"
"1282","捷運頭前庄站(1號出口)","52","28","新莊區","20171124175925","25.039365","121.460856","中正路/思源路(東北側)(捷運頭前庄站1號出口旁廣場)","Xinzhuang Dist.","MRT Touqianzhuang Sta.(Exit.1)","Zhongzheng Rd./Siyuan Rd.(intersection)","24","1"
"1283","文化機車立體停車場","32","5","淡水區","20171124175924","25.172485","121.438806","文化路57號(立體停車場地下一樓)","Tamsui Dist.","Wenhua Motorcycle Parking Lot","No.57, Wenhua Rd.(Basement 1)","27","1"
"1284","成德公園","36","13","五股區","20171124175919","25.105052","121.452963","成泰路三段成洲八路口東北側成德公園路側","Wugu Dist.","Chengde Park","Sec. 3, Chengtai Rd./Chengzhou 8th Rd.(intersecion)","23","1"
"1285","頭湖國小","38","18","林口區","20171124175924","25.081673","121.372687","民權路101號旁(植栽帶)","Linkou Dist.","Touhou Elementary School","No.101, Minquan Rd.","20","1"
"1286","金城立德路口","38","4","土城區","20171124175939","24.986691","121.465481","金城路三段19-30號(路側人行道)","Tucheng Dist.","Jincheng & Lide Intersection","No.19-30, Sec. 3, Jincheng Rd.(Side)","34","1"
"1287","恩主公醫院","66","42","三峽區","20171124175915","24.938912","121.363553","復興路372號(對面公車亭後方人行道)","Sanxia Dist.","En Chu Kong Hospital","No.372, Fuxing Rd.(oppsite)","22","1"
"1288","中和區公所","32","15","中和區","20171124175931","24.998558","121.500533","景平路634-2號 ( 中和區公所正門機車格位 )","Zhonghe Dist.","Zhonghe District Office","No.634-2, Jingping Rd.","17","1"
"1289","忠山市民活動中心","36","22","汐止區","20171124175933","25.078202","121.624493","忠三街8號(活動中心旁籃球場空間)","Xizhi Dist.","Jhongshan Civil Activity Center","No.8, Zhong 3rd St.","14","1"
"1290","三重永豐公園","32","7","三重區","20171124175920","25.074629","121.478162","永福街197巷6之1號","Sanchong Dist.","San chong Yongfeng Park","No.6-1, Ln. 197, Yongfu St.","23","1"
"1291","臺灣藝術大學","40","6","板橋區","20171124175915","25.007502","121.448000","大觀路一段51號(郵局旁邊)","Banqiao Dist.","National Taiwan University of Arts","No.51, Ln. 197, Sec. 1, Daguan Rd.","33","1"
"1292","新莊體育館","40","10","新莊區","20171124175925","25.040766","121.452459","中華路一段136巷對面","Xinzhuang Dist.","Xinzhuang Gymnasium","Ln. 136, Sec. 1, Zhonghua Rd.(oppsite)","29","1"
"1293","永和耕莘醫院","32","20","永和區","20171124175929","25.011232","121.517701","國光路123號 ( 耕莘醫院外路側汽機車格位 )","Yonghe Dist.","Yonghe Cardinal Tien Hospital","No.123, Guoguang Rd.","12","1"
"1294","三多國小","34","3","樹林區","20171124175937","25.016405","121.407135","三福街83-89號(對面人行道)","Shulin Dist.","Sanduo Elementary School","No.83-89, Sanfu St.(oppsite)","30","1"
"1295","永安兒童公園","30","21","蘆洲區","20171124175927","25.082273","121.482236","永安北路2段/永安北路2段35巷","Luzhou Dist.","Yongan Children's Park","Sec. 2, Yong’an N. Rd./ Ln. 35, Sec. 2, Yong’an N. Rd.(intersection)","9","1"
"1296","新北市立中和高級中學","36","0","中和區","20171124175921","24.993700","121.478230","連城路460號(大門旁右側人行空間)","Zhonghe Dist.","New Taipei Municipal Zhonghe Senior High School","No.460, Liancheng Rd.","36","1"
"1297","扶輪公園","40","23","林口區","20171124175933","25.072864","121.369480","文化二路一段/文化二路一段309巷","Linkou Dist.","Fulun Park","Sec. 1, Wenhua 2nd Rd./ Ln. 309, Sec. 1, Wenhua 2nd Rd.(intersecion)","16","1"
"1298","安邦公園","34","26","中和區","20171124175944","24.996867","121.496647","安邦街與連勝街口(交叉路口西北側)","Zhonghe Dist.","Anbang Park","Anbang St./Liansheng St.(intersection)","8","1"
"1299","立德公園","34","15","林口區","20171124175924","25.076441","121.367223","仁愛二路與民族路口交叉口","Linkou Dist.","Lide Park","Ren’ai 2nd Rd./ Minzu Rd.(intersection)","19","1"
"1300","新北市政府(新站路)","38","17","板橋區","20171124175928","25.012614","121.466455","中山路一段161號(東側出口)","Banqiao Dist.","New Taipei City Hall ( Xinzhan Rd)","No.161, Sec. 1, Zhongshan Rd.","20","1"
"1301","清水高中","34","2","土城區","20171124175925","24.982756","121.465444","土城區明德路一段72號","Tucheng Dist.","Qing Shui Senior High School","No.72, Sec. 1, Mingde Rd.","32","1"
"1302","板橋車站","80","60","板橋區","20171124175927","25.015519","121.463735","新站路/站前路口(十字路口西側)","Banqiao Dist.","Banqiao Station","Xinzhan Rd. / Zhanqian Rd.(intersection)","20","1"
"1303","樹林國民運動中心","34","18","樹林區","20171124175919","25.004186","121.422847","樹林區中正路188-6號","Shulin Dist.","Shulin  Civil  Sports Center","No.188-6,Zhongzheng Rd.,Shulin Dist.","13","1"
"1304","捷運輔大站(4號出口)","42","24","新莊區","20171124175931","25.033025","121.436484","新莊區 中正路510之1號","Xinzhuang Dist.","MRT Fu Jen University Sta.(Exit.4)","No.510-1, Zhongzheng Rd., Xinzhuang Dist.","16","1"
